No,Product_name,Company,Ai
11179,MICROTHIOL SPECIAL DISPERSS,"UPL IBERIA, S.A.",AZUFRE 80% [WG] P/P
11231,COBRE-NORDOX,"COMERCIAL QUÍMICA MASSÓ, S.A.",OXIDO CUPROSO 50% (EXPR. EN CU) [WP] P/P
11312,DECCOSOL-MF,DECCO IBERICA POST COSECHA S.A.U.,2-FENILFENOL 13% (EXPR. EN OPP) [SL] P/V
11317,BASAGRAN L,BASF ESPAÑOLA S.L.U.,BENTAZONA 48% (SAL SÓDICA) [SL] P/V
11388,MESUROL 200 SC,"BAYER CROPSCIENCE, S.L.",METIOCARB 20% [SC] P/V
11412,SP4OK,"NUFARM ESPAÑA, S.A.",MCPA 40% (SAL POTÁSICA) [SL] P/V
11420,MICROTOX,"FIELD PROTECTION, S.L.",AZUFRE 80% [WP] P/P
11485,EVER TRANSPARENTE,"TOTAL ESPAÑA, S.A.U.",ACEITE DE PARAFINA (CAS: 64742-46-7) 79% [EC] P/V
11530,NUFO-Z,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB 80% [WP] P/P
11533,BANVEL-D,"SYNGENTA ESPAÑA, S.A.",DICAMBA 48% (SAL DIMETILAMINA) [SL] P/V
11565,QUILAN,GOWAN CROP PROTECTION LTD.,BENFLURALINA 18% [EC] P/V
11571,VENZAR,"FMC Agricultural Solutions, S.A.U.",LENACILO 80% [WP] P/P
11572,VYDATE 10 G,"DU PONT IBERICA, S.L.",OXAMILO 10% [GR] P/P
11582,BELTASUR-500,PROBELTE S.A.U.,OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
11725,ANRI-L N,"CERAFRUT, S.L.",DETERGENTE BIODEGRADABLE 7% [SL] P/V
11736,BASAMID GRANULADO,KANESHO SOIL TREATMENT SPRL/BVBA,DAZOMET 98% [GR] P/P
11780,ORTHOCIDE 80 WG,"ARYSTA LIFESCIENCE, S.A.S.",Captan 80% [WG] P/P
11797,CALDO BORDELES MAC 80,"IQV AGRO ESPAÑA, S.L.",SULFATO CUPROCALCICO 20% (EXPR. EN CU) [WP] P/P
11807,FULMIT OLEO L.E,"KENOGARD, S.A.",ACEITE DE PARAFINA (CAS: 64742-46-7) 79% [EC] P/V
11811,DAFENE PROGRESS,"FMC Agricultural Solutions, S.A.U.",Dimetoato 40% [EC] P/V
11821,FULMIT,"KENOGARD, S.A.",ACEITE DE PARAFINA 79% [EC] P/V
11826,APHOX,"ADAMA AGRICULTURE ESPAÑA, S.A.",PIRIMICARB 50% [WG] P/P
11837,CAPTAGREX 80,"ARYSTA LIFESCIENCE, S.A.S.",Captan 80% [WG] P/P
11854,DITIVER C PM,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
11952,AZUFRE FAMOLINS,"JULIO CABRERO Y CIA, S.L.","AZUFRE 98,5% [DP] P/P"
12031,PERFEKTHION,BASF ESPAÑOLA S.L.U.,Dimetoato 40% [EC] P/V
12033,VOLCK VERANO,"FMC Agricultural Solutions, S.A.U.","Aceite de parafina 65,4% [EW] P/V"
12054,NEMACUR 40 LE,AMVAC NETHERLANDS B.V.,FENAMIFOS 40% [EC] P/V
12070,SANAGRICOLA WP,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
12180,CAPTERAN 50,"ADAMA AGRICULTURE ESPAÑA, S.A.","CAPTAN 47,5% [SC] P/V"
12231,PELT 50 SC,"BAYER CROPSCIENCE, S.L.",METIL TIOFANATO 50% [SC] P/V
12240,ACTELLIC 50-E,"SYNGENTA ESPAÑA, S.A.",METIL PIRIMIFOS 50% [EC] P/V
12276,AGRAL,"SYNGENTA ESPAÑA, S.A.",MOJANTE NO IONICO 20% [SL] P/V
12281,COBRE KEY,"INDUSTRIAL QUIMICA KEY, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
12308,CUPREBEL,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.","MANCOZEB 17,5% + OXICLORURO DE COBRE 22% (EXPR. EN CU) [WP] P/P"
12309,DITIVER M-80,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB 80% [WP] P/P
12350,SUPRAMIN 20,GOWAN CROP PROTECTION LTD.,FOSMET 20% [EC] P/V
12352,ASPID 50 WP,GOWAN CROP PROTECTION LTD.,FOSMET 50% [WP] P/P
12424,BENOIL AE,"FMC Agricultural Solutions, S.A.U.",ACEITE DE PARAFINA 79% [EC] P/V
12434,AFROIL-N,"INDUSTRIAS AFRASA, S.A.",ACEITE DE PARAFINA 79% [EC] P/V
12453,AZUFRE MICRONIZADO P-300/100,AZUFRERA Y FERTILIZANTES PALLARÈS S.A.,"AZUFRE 98,5% [DP] P/P"
12455,AZUFRE MICRONIZADO P-300/80,AZUFRERA Y FERTILIZANTES PALLARÈS S.A.,AZUFRE 80% [DP] P/P
12464,AZUFRE MOLIDO P-100/100,AZUFRERA Y FERTILIZANTES PALLARÈS S.A.,"AZUFRE 98,5% [DP] P/P"
12465,AZUMO-N,AZUFRERA Y FERTILIZANTES PALLARÈS S.A.,AZUFRE 80% [WP] P/P
12466,AZUFRE SUBLIMADO FLOR PALLARES,AZUFRERA Y FERTILIZANTES PALLARÈS S.A.,AZUFRE 99% [DP] P/P
12467,LAISOL,"LAINCO, S.A.",METAM SODIO 40% (ANHIDRO) [SL] P/V
12469,METENAL,"ADAMA AGRICULTURE ESPAÑA, S.A.",METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
12470,METALIXON,"ADAMA AGRICULTURE ESPAÑA, S.A.",METALDEHIDO 5% [GB] P/P
12507,AFROCOBRE M,"ALINTRA, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
12534,BELPRON ESPECIAL FLUIDO-90,PROBELTE S.A.U.,AZUFRE 80% [WG] P/P
12562,AZUFRE SUBLIMADO FLOR,"FIELD PROTECTION, S.L.",AZUFRE 99% [DP] P/P
12569,CUPERVAL,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",SULFATO CUPROCALCICO 20% [WP] P/P
12605,COBRELUQ-50,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
12612,CURENOX 50 BLUE,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
12677,IQV OXICLORURO 50,"INDUSTRIAS QUIMICAS DEL VALLES, S.A.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
12715,NOSPUNT,ARYSTA LIFESCIENCE BENELUX Sprl.,CLORPROFAM 1% [DP] P/P
12741,CITRASHINE CONSERV. IMZ-D,DECCO IBERICA POST COSECHA S.A.U.,"IMAZALIL 0,3% [EW] P/V"
12752,CITRASHINE-N-IMZ-DOBLE,DECCO IBERICA POST COSECHA S.A.U.,"IMAZALIL 0,3% [EW] P/V"
12764,MANZATE DP 80,"UPL IBERIA, S.A.",MANCOZEB 80% [WP] P/P
12779,CITRASHINE CONSERV. T-IMZ,DECCO IBERICA POST COSECHA S.A.U.,"IMAZALIL 0,2 + Tiabendazol 0,5[EW] P/V"
12796,MOJANTE ORO,"QUIMICAS ORO, S.A.",DODECILBENCENO SULFONATO AMONICO (DDSA) 20% [EC] P/V
12797,OIL-ORO,"QUIMICAS ORO, S.A.",ACEITE DE PARAFINA 83% [EC] P/V
12812,BABOSIL GRANULADO,"ADAMA AGRICULTURE ESPAÑA, S.A.",METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
12829,DANADIM PROGRESS,"FMC Agricultural Solutions, S.A.U.",Dimetoato 40% [EC] P/V
12864,CALDO BORDELES,IQV ITALIA S.R.L.,SULFATO CUPROCALCICO 20% [WP] P/P
12901,THIOVIT JET,"SYNGENTA ESPAÑA, S.A.",AZUFRE 80% [WG] P/P
12965,COVICAMPO-50,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
12968,ADREX,ASCENZA PRODUCTOS PARA AGRICULTURA S.A.U.,ALQUIL POLIGLICOL 20% (ETER) [SL] P/V
13037,LIMAGRAM,"SIPCAM INAGRA, S.A.",METALDEHIDO 3% (ADICIONADO DE COLORANTE) [RB] P/P
13073,BENOIL NARANJOS,"FMC Agricultural Solutions, S.A.U.","Aceite de parafina 65,4% [EW] P/V"
13074,VOLCK MISCIBLE,"FMC Agricultural Solutions, S.A.U.",ACEITE DE PARAFINA 83% [EC] P/V
13087,COXIDANTE,PROBELTE S.A.U.,AZUFRE 80% [DP] P/P
13090,BELPRON ESPECIAL FLUIDO 80,PROBELTE S.A.U.,AZUFRE 80% [DP] P/P
13094,BRITEX-F,"CIA. IBERICA BROGDEX, S. A.","CERAS 18% + 2-FENILFENOL 0,65% (EXPR. EN OPP) [EW] P/V"
13115,PHOSTOXIN PELLET,DETIA FREYBERG GMBH,FOSFURO DE ALUMINIO 56% [GE] P/P
13116,PHOSTOXIN BAG,DETIA FREYBERG GMBH,FOSFURO DE ALUMINIO 57% [GE] P/P
13117,SPERSUL,"SYNGENTA ESPAÑA, S.A.",AZUFRE 80% [WP] P/P
13138,CURENOX-50,"IQV AGRO ESPAÑA, S.L.",OXICLORURO DE COBRE 50% (EXPR. EN CU) [WP] P/P
13141,BELPROIL-A,PROBELTE S.A.U.,ACEITE DE PARAFINA 83% [EC] P/V
13146,BELPRON C-50,"ADAMA AGRICULTURE ESPAÑA, S.A.","CAPTAN 47,5% [SC] P/V"
13174,CARAQUIM,"ADAMA AGRICULTURE ESPAÑA, S.A.",METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
13181,METAKEY,SHARDA EUROPE BVBA,METALDEHIDO 5% (ADICIONADO DE COLORANTE) [GB] P/P
13188,MERPAN 80 WG,"ADAMA AGRICULTURE ESPAÑA, S.A.",Captan 80% [WG] P/P
13194,PERFEKTHION TOP,BASF ESPAÑOLA S.L.U.,Dimetoato 40% [EC] P/V
13248,ARGES,"NUFARM ESPAÑA, S.A.",MCPA 75% (SAL DIMETILAMINA) [SL] P/V
13261,NIMROD QUATTRO,"ADAMA AGRICULTURE ESPAÑA, S.A.",BUPIRIMATO 25% [EC] P/V
13299,ETHREL 48,"BAYER CROPSCIENCE, S.L.",Etefon 48% [SL] P/V
